Substring	Substring_length	Replicate	Attempts	Runtime
t	1	1	21	0.0
t	1	2	31	0.0
t	1	3	8	0.0
t	1	4	30	0.0
t	1	5	1	0.0
t	1	6	14	0.0
t	1	7	1	0.0
t	1	8	3	0.0
t	1	9	16	0.0
t	1	10	2	0.0
to	2	1	187	0.001
to	2	2	998	0.001
to	2	3	480	0.0
to	2	4	1632	0.00203
to	2	5	1920	0.001
to	2	6	1681	0.00197
to	2	7	44	0.0
to	2	8	47	0.0
to	2	9	184	0.0
to	2	10	90	0.0
to_	3	1	31603	0.032
to_	3	2	26747	0.02544
to_	3	3	17602	0.02073
to_	3	4	2893	0.00398
to_	3	5	14533	0.01502
to_	3	6	23484	0.02498
to_	3	7	18811	0.01903
to_	3	8	44957	0.04597
to_	3	9	1933	0.002
to_	3	10	75334	0.073
to_b	4	1	327853	0.35024
to_b	4	2	119095	0.126
to_b	4	3	422580	0.51698
to_b	4	4	387489	0.4796
to_b	4	5	71603	0.08365
to_b	4	6	321325	0.35714
to_b	4	7	251992	0.29899
to_b	4	8	5516	0.00579
to_b	4	9	98623	0.10536
to_b	4	10	509178	0.54012
to_be	5	1	9347228	11.54511
to_be	5	2	772222	0.947
to_be	5	3	29946836	35.74077
to_be	5	4	2952798	3.5768
to_be	5	5	10923115	13.57275
to_be	5	6	150958	0.17784
to_be	5	7	3100931	3.77305
to_be	5	8	26087841	31.86797
to_be	5	9	5202885	6.34554
to_be	5	10	6318835	7.75884
to_be,	6	1	618782148	800.20536
to_be,	6	2	1297052461	1672.80538
to_be,	6	3	77763604	98.53519
to_be,	6	4	282456907	363.13589
to_be,	6	5	720595951	911.3201
to_be,	6	6	622421052	870.0265
to_be,	6	7	109611904	156.23921
to_be,	6	8	212602620	299.75412
to_be,	6	9	627144012	847.70565
to_be,	6	10	520363294	668.86148
to_be,_	7	1	3175814175	4313.16684
to_be,_	7	2	38675409185	52973.97358
to_be,_	7	3	153817468	212.50782
to_be,_	7	4	6094794871	8353.77836
to_be,_	7	5	8023067668	15465.494
to_be,_	7	6	10842027331	20057.26541
to_be,_	7	7	17896688834	27645.16542
to_be,_	7	8	296864355	390.15214
to_be,_	7	9	9616608160	12661.07597
